,,Preu,Codi_Districte,Nom_Districte,Nom_Barri
,,mean,first,first,first
Year,Codi_Barri,,,,
2021,37,674.875,7,Nou Barris,el Carmel
2021,38,713.975,7,Nou Barris,la Teixonera
2021,39,703.825,7,Nou Barris,Sant Genís dels Agudells
2021,40,740.35,7,Nou Barris,Montbau
2021,41,862.1,7,Nou Barris,la Vall d'Hebron
2021,43,749.4,7,Nou Barris,Horta
2021,44,760.525,8,Sant Martí,Vilapicina i la Torre Llobeta
2021,45,714.725,8,Nou Barris,Porta
2021,46,683.175,8,Ciutat Vella,el Turó de la Peira
2021,48,676.825,8,Eixample,la Guineueta
2021,49,742.375,8,Eixample,Canyelles
2021,50,621.625,8,Sants-Montjuïc,les Roquetes
2021,51,648.7,8,Sants-Montjuïc,Verdun
2021,52,676.525,8,Les Corts,la Prosperitat
2021,53,592.75,8,Les Corts,la Trinitat Nova
2021,55,525.7,8,Sarrià-Sant Gervasi,Ciutat Meridiana
2021,57,607.275,9,Sarrià-Sant Gervasi,la Trinitat Vella
2021,58,532.1,9,Ciutat Vella,Baró de Viver
2021,59,685.425,9,Gràcia,el Bon Pastor
2021,60,766.65,9,Gràcia,Sant Andreu
2021,61,767.025,9,Gràcia,la Sagrera
2021,62,774.825,9,Horta-Guinardó,el Congrés i els Indians
2021,63,820.525,9,Horta-Guinardó,Navas
2021,64,820.75,10,Gràcia,el Camp de l'Arpa del Clot
2021,65,824.0,10,Gràcia,el Clot
2021,66,975.925,10,Gràcia,el Parc i la Llacuna del Poblenou
2021,67,1313.825,10,Horta-Guinardó,la Vila Olímpica del Poblenou
2021,68,945.725,10,Horta-Guinardó,el Poblenou
2021,69,1073.725,10,Gràcia,Diagonal Mar i el Front Marítim del Poblenou
2021,70,710.4,10,Gràcia,el Besòs i el Maresme
2021,71,950.5,10,Gràcia,Provençals del Poblenou
2021,72,806.1750000000001,10,Horta-Guinardó,Sant Martí de Provençals
2021,73,743.475,10,Horta-Guinardó,la Verneda i la Pau
